name,description,alcohol_percentage,bitterness,country,taste_tags,beer_type,style
Corona Extra,"Corona Extra - это легкое и освежающее светлое пиво, которое известно своим мягким вкусом и легкой горечью. Оно обладает светло-золотистым цветом и часто подается с долькой лайма, что придает ему дополнительную свежесть. Corona Extra имеет легкий аромат солода и кукурузы, с нотками цитрусовых. Это пиво идеально подходит для жарких дней и отлично сочетается с мексиканской кухней.",4.5,низкая,Мексика,"освежающее, легкое, цитрусовое, мягкое",светлое,лагер
Budweiser,"Budweiser — это американский лагер, известный своим легким и освежающим вкусом. Он обладает сбалансированным профилем с легкими нотками солода и хмеля. Пиво имеет светло-золотистый цвет и чистый, освежающий финиш. Budweiser часто называют «Королем пива» благодаря его популярности и доступности. Это пиво идеально подходит для различных мероприятий и хорошо сочетается с разнообразными блюдами.",5.0,низкая,США,"легкое, освежающее, сбалансированное, солодовое, хмелевое",светлое,лагер
Bud Light,"Bud Light - это популярное американское светлое пиво, известное своим легким и освежающим вкусом. Оно обладает мягким ароматом солода и легкими нотками хмеля, что делает его идеальным выбором для тех, кто предпочитает менее горькие напитки. Bud Light имеет светло-золотистый цвет и чистый, освежающий финиш. Это пиво часто выбирают для вечеринок и мероприятий благодаря его легкости и доступности.",4.2,низкая,США,"легкое, освежающее, мягкое, солодовое",светлое,лагер
Bud,"Bud, также известный как Budweiser, является одним из самых известных американских лагеров. Это светлое пиво с легким и освежающим вкусом, который делает его популярным выбором для многих любителей пива. Оно обладает мягким ароматом солода и легкими нотками хмеля, что придает ему сбалансированный вкус. Bud идеально подходит для различных мероприятий и хорошо сочетается с легкими закусками. Это пиво производится с использованием лучших ингредиентов, включая ячмень, рис и хмель.",5.0,низкая,США,"освежающее, легкое, сбалансированное",светлое,лагер
Kozel,"Kozel - это популярное чешское пиво, известное своим мягким и сбалансированным вкусом. Оно производится с использованием традиционных рецептов и высококачественных ингредиентов, что придаёт ему характерный аромат и вкус. Kozel предлагает несколько разновидностей, включая светлое и тёмное пиво, каждое из которых имеет свои уникальные особенности. Светлый Kozel отличается лёгкостью и свежестью, в то время как тёмный обладает более насыщенным и карамельным вкусом. Это пиво идеально подходит для тех, кто ценит классические чешские традиции пивоварения.",4.0-4.8,низкая,Чехия,"мягкий, сбалансированный, свежий, карамельный",светлое/темное,лагер
Staropramen,"Staropramen - это классический чешский лагер, который известен своим сбалансированным вкусом и легкой горечью. Пиво обладает золотистым цветом и чистым ароматом с нотами солода и хмеля. Оно освежающее и легко пьется, что делает его популярным выбором среди любителей лагеров. Staropramen производится с использованием традиционных чешских методов пивоварения, что придает ему аутентичный вкус и характер. Это пиво идеально подходит для тех, кто ищет классический лагер с мягким вкусом и умеренной горечью.",5.0,средняя,Чехия,"сбалансированный, освежающий, легкий, солодовый, хмелевой",светлое,лагер
Heineken,"Heineken - это всемирно известный светлый лагер, который производится с 1873 года. Он обладает чистым и освежающим вкусом с легкими нотками солода и хмеля. Пиво отличается характерной золотистой окраской и плотной белой пеной. Благодаря своему сбалансированному вкусу и умеренной горечи, Heineken является популярным выбором среди любителей лагеров. Оно идеально подходит для употребления в жаркую погоду и хорошо сочетается с различными блюдами.",5.0,низкая,Нидерланды,"освежающее, легкое, солодовое, хмелевое",светлое,лагер
Stella Artois,"Stella Artois - это известное бельгийское пиво, которое отличается своим светлым золотистым цветом и чистым, освежающим вкусом. Оно обладает мягким солодовым ароматом с легкими нотками хмеля. Пиво имеет гладкую текстуру и слегка сухое послевкусие, что делает его популярным выбором среди любителей лагеров. Stella Artois часто подается в фирменных бокалах, что подчеркивает его элегантность и традиции. Это пиво идеально подходит для различных блюд, от легких закусок до более сытных мясных блюд.",5.0,низкая,Бельгия,"освежающее, солодовое, легкое, гладкое",светлое,лагер
Beck’s,"Beck’s — это немецкое светлое пиво, известное своим чистым и освежающим вкусом. Оно производится с использованием лучших сортов ячменя, хмеля и воды, что придаёт ему характерный горьковатый вкус и аромат. Пиво имеет светло-золотистый цвет и образует плотную пену при наливании. Beck’s является одним из самых популярных экспортных пив в мире и ценится за своё качество и традиции пивоварения. Оно подходит для употребления в любое время года и сочетается с различными блюдами.",5.0,средняя,Германия,"освежающее, горьковатое, чистое",светлое,лагер
Holsten,"Holsten — это немецкое пиво, известное своим классическим вкусом и традиционным методом пивоварения. Оно обладает чистым и освежающим вкусом с легкими солодовыми нотами и умеренной горечью. Holsten часто ассоциируется с качеством и надежностью, что делает его популярным выбором среди любителей пива. Это пиво подходит для различных случаев, от повседневного употребления до праздничных мероприятий.",4.8,средняя,Германия,"освежающее, солодовое, классическое",светлое,лагер
Tuborg Green,"Tuborg Green - это освежающий светлый лагер, который отличается легким и мягким вкусом. Пиво имеет светло-золотистый цвет и тонкий аромат хмеля. Оно обладает сбалансированной горечью и легкой сладостью, что делает его идеальным для утоления жажды. Tuborg Green часто выбирают для вечеринок и мероприятий благодаря его легкому и непринужденному характеру. Это пиво хорошо сочетается с различными закусками и блюдами.",4.6,низкая,Дания,"освежающее, легкое, хмелевое, сбалансированное",светлое,лагер
Tuborg Gold,"Tuborg Gold - это светлое пиво, известное своим мягким и сбалансированным вкусом. Оно обладает легким ароматом солода и хмеля, что делает его приятным для питья. Это пиво имеет золотистый цвет и умеренную карбонизацию, что придает ему освежающий характер. Tuborg Gold часто выбирают за его универсальность и способность сочетаться с различными блюдами. Оно популярно как в барах, так и на домашних вечеринках. Это пиво подходит для тех, кто предпочитает легкие и не слишком горькие напитки.",5.5,низкая,Дания,"мягкий, сбалансированный, освежающий, легкий",светлое,лагер
Carlsberg,"Carlsberg - это классический светлый лагер, который производится с использованием лучших ингредиентов и уникального процесса пивоварения. Он обладает чистым и освежающим вкусом с легкими нотками хмеля и солода. Пиво имеет мягкую текстуру и сбалансированный вкус, что делает его идеальным выбором для различных случаев. Carlsberg известен своим качеством и традициями, которые берут начало в Дании с 1847 года.",5.0,низкая,Дания,"освежающий, легкий, хмелевой, солодовый",светлое,лагер
Guinness Draught,"Guinness Draught - это знаменитый ирландский стаут, известный своим насыщенным темным цветом и кремовой пеной. Он обладает мягким вкусом с нотками кофе и шоколада, а также легкой горечью. Этот стаут отличается гладкой текстурой и уникальным вкусом, который достигается благодаря использованию азота при розливе. Guinness Draught является одним из самых популярных стаутов в мире и символом ирландской пивоваренной традиции.",4.2,низкая,Ирландия,"кофе, шоколад, кремовая текстура, мягкий вкус",темное,стаут
Guinness Original,"Guinness Original - это классический ирландский стаут, известный своим насыщенным вкусом и глубокой темной окраской. Он обладает характерной кремовой пеной и сложным ароматом, в котором можно уловить ноты жареного ячменя и кофе. Вкус пива богатый и гладкий, с легкой горчинкой и сладковатыми оттенками. Это пиво идеально подходит для тех, кто ценит традиционные стауты с богатой историей. Guinness Original часто ассоциируется с ирландской культурой и традициями. Оно прекрасно сочетается с мясными блюдами и сырами.",4.2,средняя,Ирландия,"жареный ячмень, кофе, кремовая пена, сладковатый, традиционный",темное,стаут
Baltika 0,"Baltika 0 - это безалкогольное пиво, производимое в России. Оно предлагает освежающий вкус с легкими солодовыми нотками и мягким ароматом хмеля. Это пиво подходит для тех, кто хочет насладиться вкусом пива без содержания алкоголя. Baltika 0 обладает светлым золотистым цветом и прозрачностью, характерной для лагеров. Оно идеально подходит для утоления жажды в жаркие дни.",0.5,низкая,Россия,"освежающее, легкое, солодовое, безалкогольное",светлое,лагер
Baltika 3,"Baltika 3 — это классическое светлое пиво, которое отличается мягким вкусом и легким ароматом. Оно обладает сбалансированным вкусом с легкими солодовыми нотками и умеренной горечью. Это пиво популярно среди широкого круга потребителей благодаря своему универсальному вкусу и доступности. Оно хорошо подходит для употребления в любое время года и сочетается с различными блюдами.",4.8,низкая,Россия,"мягкое, солодовое, освежающее",светлое,лагер
Baltika 6,"Baltika 6 — это насыщенное темное пиво, которое отличается глубоким вкусом с нотами карамели и шоколада. Оно обладает плотной текстурой и богатым ароматом, который создается благодаря использованию специальных сортов солода. Это пиво идеально подходит для тех, кто ценит сложные и многогранные вкусы. Baltika 6 имеет мягкое послевкусие и умеренную горечь, что делает его приятным для употребления. Оно хорошо сочетается с мясными блюдами и сырами.",7.0,средняя,Россия,"карамель, шоколад, плотное, мягкое послевкусие",темное,портер
Baltika 7 Export,"Baltika 7 Export — это светлое пиво, которое отличается мягким вкусом и легким ароматом хмеля. Оно обладает сбалансированной горечью и освежающим послевкусием. Пиво производится из высококачественного ячменного солода и отборного хмеля, что придает ему особую чистоту и прозрачность. Baltika 7 Export идеально подходит для тех, кто ценит классический вкус светлого лагера.",5.4,низкая,Россия,"мягкое, освежающее, сбалансированное",светлое,лагер
Baltika 9 Strong,"Baltika 9 Strong - это крепкое светлое пиво, производимое в России. Оно обладает насыщенным вкусом с легкими сладковатыми нотками и выраженной алкогольной теплотой. Пиво отличается плотным телом и золотистым цветом. Оно популярно среди любителей крепких сортов благодаря своему интенсивному вкусу и аромату. Baltika 9 Strong идеально подходит для тех, кто предпочитает насыщенные и крепкие напитки.",8.0,низкая,Россия,"крепкое, сладковатое, насыщенное",светлое,лагер
Жигулевское,"Жигулевское — это классическое светлое пиво, которое было разработано в Советском Союзе и остается популярным в России и странах СНГ. Оно характеризуется легким и освежающим вкусом с мягкой горечью и хлебными нотками. Пиво имеет золотистый цвет и прозрачность, что делает его привлекательным для широкого круга потребителей. Жигулевское часто ассоциируется с ностальгией по советским временам и традициями.",4.0-4.5,низкая,Россия,"легкое, освежающее, хлебные нотки, ностальгия",светлое,лагер
